gpu,batch,seq_len,heads,head_dim,dtype,runtime_s,latency_ms,tokens_per_s,approx_tflops,max_memory_gb,max_temperature_c,max_power_w
NVIDIA GH200 120GB,1,1024,64,128,float8_e4m3fn,0.0014986239671707154,0.0999082644780477,10249402.3427361,343.9128739499792,0.0393071174621582,26.0,140.13
NVIDIA GH200 120GB,1,4096,64,128,float8_e4m3fn,0.004944287776947022,0.32961918512980143,12426461.155126719,1667.8513833213638,0.1572270393371582,26.0,142.97
NVIDIA GH200 120GB,1,16384,64,128,float8_e4m3fn,0.06425196838378906,4.283464558919271,3824941.1836230354,2053.4996615980585,0.6289067268371582,33.0,169.62
NVIDIA GH200 120GB,1,65536,64,128,float8_e4m3fn,0.9534694213867188,63.56462809244792,1031013.6622633098,2214.0849805750527,2.515625476837158,44.0,501.47
NVIDIA GH200 120GB,2,1024,64,128,float8_e4m3fn,0.0014225280284881593,0.09483520189921062,21595356.565767452,724.6199234017975,0.0786137580871582,44.0,484.95
NVIDIA GH200 120GB,2,4096,64,128,float8_e4m3fn,0.009316736221313477,0.6211157480875651,13189168.082154455,1770.2201741968881,0.3144536018371582,34.0,424.19
NVIDIA GH200 120GB,2,16384,64,128,float8_e4m3fn,0.1285704345703125,8.5713623046875,3822962.889117388,2052.437572822607,1.2578129768371582,38.0,398.35
NVIDIA GH200 120GB,2,65536,64,128,float8_e4m3fn,1.9110635986328126,127.40423990885417,1028788.3675909827,2209.3061966542487,5.031250476837158,47.0,517.24
NVIDIA GH200 120GB,4,1024,64,128,float8_e4m3fn,0.0020166079998016357,0.13444053332010905,30467002.018262133,1022.3029474656395,0.1572270393371582,36.0,448.17
NVIDIA GH200 120GB,4,4096,64,128,float8_e4m3fn,0.01843475151062012,1.2289834340413412,13331343.243678635,1789.3026013546967,0.6289067268371582,34.0,421.38
NVIDIA GH200 120GB,4,16384,64,128,float8_e4m3fn,0.256340576171875,17.089371744791666,3834898.1448059045,2058.845264429054,2.515625476837158,43.0,376.04
NVIDIA GH200 120GB,4,65536,64,128,float8_e4m3fn,3.82052392578125,254.70159505208332,1029220.0955647521,2210.2333254183027,10.062500476837158,48.0,518.92
NVIDIA GH200 120GB,8,1024,64,128,float8_e4m3fn,0.0038149759769439697,0.25433173179626467,32209901.384080127,1080.7849457188224,0.3144536018371582,37.0,442.73
NVIDIA GH200 120GB,8,4096,64,128,float8_e4m3fn,0.036515392303466794,2.4343594868977863,13460624.930855112,1806.6544956795303,1.2578129768371582,35.0,421.76
NVIDIA GH200 120GB,8,16384,64,128,float8_e4m3fn,0.512154052734375,34.143603515625,3838844.952027926,2060.964190421829,5.031250476837158,45.0,410.56
NVIDIA GH200 120GB,8,65536,64,128,float8_e4m3fn,7.63619775390625,509.07985026041666,1029873.8002138636,2211.637145462891,20.125000476837158,48.0,519.84
